customer_id,first_name,last_name,email,gender,age,city,state,signup_date,loyalty_tier,preferred_channel
CUST00001,Allison,Obrien,sarahcampos@example.net,Male,33,Ericmouth,CT,2024-02-22,Bronze,Website
CUST00002,Larry,Carney,samuel87@example.org,Other,23,Port Lindachester,MA,2024-04-01,Silver,Mobile App
CUST00003,Caleb,Smith,briannasmith@example.net,Female,32,New Roberttown,CO,2024-05-22,Bronze,Mobile App
CUST00004,Jeremy,Whitehead,chad34@example.net,Other,59,Lake Curtis,WA,2025-07-11,Silver,Mobile App
CUST00005,Amber,Cummings,esanchez@example.com,Other,35,East Courtneychester,PA,2025-02-03,Bronze,In-Store
CUST00006,Collin,Jordan,ujenkins@example.org,Female,62,North Judithbury,IN,2024-03-21,Gold,Mobile App
CUST00007,Tracey,Garcia,zchandler@example.org,Male,24,East Steven,KY,2025-08-26,Bronze,Website
CUST00008,James,West,dwhite@example.org,Male,56,Port Lindachester,MA,2024-05-23,Bronze,Website
CUST00009,Charles,Morton,williamsyvette@example.org,Other,25,New Roberttown,CO,2026-04-01,Silver,In-Store
CUST00010,Sara,Allison,richardolson@example.com,Male,71,Coxberg,NY,2026-07-12,Bronze,Mobile App
CUST00011,Franklin,Smith,ybaker@example.com,Other,22,Juliechester,MH,2026-05-01,Silver,Website
CUST00012,Heather,Cross,smoore@example.org,Female,72,Reidstad,GA,2024-07-01,Gold,Website
CUST00013,Beth,Daniels,brian97@example.net,Male,58,Port Lindachester,MA,2026-07-12,Bronze,In-Store
CUST00014,Amanda,Brown,yorkcasey@example.org,Female,60,South Christianport,MP,2026-05-19,Bronze,Website
CUST00015,Joe,Wilson,bethwilliams@example.org,Female,52,Lake Debra,ND,2025-08-28,Silver,Mobile App
CUST00016,Brandy,Mills,james53@example.com,Male,58,South Christianport,MP,2024-11-24,Silver,Mobile App
CUST00017,Emily,Evans,sarah10@example.com,Female,32,Reidstad,GA,2024-10-29,Silver,In-Store
CUST00018,Anna,Garcia,williamanderson@example.com,Female,31,Carlshire,FM,2025-06-30,Bronze,In-Store
CUST00019,Natasha,Wood,samueldaniels@example.com,Male,31,Natashaport,IA,2026-04-07,Gold,Mobile App
CUST00020,Vanessa,Valdez,contrerasangela@example.net,Other,47,Daviston,VI,2025-06-20,Gold,Website
CUST00021,Natalie,Baker,newtoneric@example.com,Other,52,South Colinstad,PA,2023-12-18,Bronze,Website
CUST00022,Jennifer,Harris,william40@example.org,Other,43,East Natalieland,CO,2025-06-13,Bronze,Website
CUST00023,Maria,Williams,kellie42@example.net,Female,66,South Colinstad,PA,2025-07-14,Silver,Website
CUST00024,Janice,Hoffman,jonesnicole@example.org,Female,68,Ericmouth,CT,2024-12-18,Bronze,Mobile App
CUST00025,Mary,Aguilar,russellwilliams@example.com,Male,56,Cabreraside,WI,2025-04-09,Bronze,In-Store
CUST00026,Laura,Valencia,jason31@example.com,Other,73,Meaganhaven,PA,2026-04-27,Bronze,In-Store
CUST00027,Nicole,Russell,sarayoung@example.org,Other,66,Ericmouth,CT,2025-12-19,Silver,Website
CUST00028,Lisa,Keith,whitesandra@example.com,Male,28,Jasonfort,MO,2026-07-20,Bronze,Mobile App
CUST00029,Michelle,Cochran,erik16@example.org,Female,50,New Cynthiaside,VA,2026-01-12,Platinum,In-Store
CUST00030,Jeffrey,Velasquez,ybailey@example.org,Other,56,East Lydiamouth,MO,2026-03-14,Gold,Website
CUST00031,Donna,Ross,michelle45@example.net,Other,67,Juliechester,MH,2024-04-25,Gold,In-Store
CUST00032,Erin,Anthony,sheila14@example.org,Male,19,North Judithbury,IN,2025-03-01,Silver,Website
CUST00033,Tonya,Johnson,yreed@example.com,Male,33,Juliechester,MH,2025-05-17,Gold,Website
CUST00034,Tracey,Wilson,jonathanfletcher@example.org,Female,64,Natashaport,IA,2024-12-12,Platinum,Mobile App
CUST00035,Lindsay,Mcdaniel,michaeljones@example.net,Other,67,Lake Debra,ND,2025-03-13,Platinum,Website
CUST00036,Cindy,Alvarado,cortezkevin@example.com,Female,34,Danielchester,GA,2026-05-21,Platinum,Mobile App
CUST00037,Mark,Terry,jamesortega@example.com,Female,52,Cabreraside,WI,2025-08-19,Bronze,In-Store
CUST00038,Raven,Gilbert,richard04@example.com,Male,60,Port Keith,CO,2025-08-30,Silver,Mobile App
CUST00039,Kristi,Lawson,steven73@example.net,Male,25,Tashatown,TX,2024-04-11,Gold,Website
CUST00040,Rachel,Flynn,donnacampbell@example.net,Other,53,Lake Debra,ND,2025-01-21,Bronze,Website
CUST00041,Matthew,Cardenas,emilywalker@example.org,Other,58,Reidstad,GA,2025-07-13,Bronze,Website
CUST00042,Brandon,Riggs,gibsonolivia@example.net,Male,22,Lake Debra,ND,2024-02-03,Gold,Mobile App
CUST00043,Heather,Snyder,dylanwatts@example.org,Female,52,East Steven,KY,2024-03-25,Silver,Website
CUST00044,Jeffery,Brock,pwilliams@example.org,Female,68,Natashaport,IA,2025-12-18,Silver,Mobile App
CUST00045,Laurie,Contreras,stephanie79@example.net,Female,60,East Courtneychester,PA,2025-01-03,Bronze,Mobile App
CUST00046,Ronald,Meadows,vmerritt@example.com,Other,21,South Patrickmouth,NC,2026-04-20,Bronze,Mobile App
CUST00047,Karen,Larsen,katie87@example.net,Other,39,Port Lindachester,MA,2024-12-27,Bronze,In-Store
CUST00048,Scott,Reeves,josephflores@example.net,Female,52,Port Lindachester,MA,2024-05-13,Bronze,Mobile App
CUST00049,Edward,Reyes,jasminebrown@example.com,Male,33,South Patrickmouth,NC,2023-11-23,Bronze,In-Store
CUST00050,Steven,Brown,xprice@example.net,Other,24,Lake Debra,ND,2024-08-20,Bronze,Website
CUST00051,Andrew,Gilmore,wwoods@example.com,Female,66,East Nathaniel,GA,2026-06-17,Gold,In-Store
CUST00052,Melissa,Ashley,vmedina@example.net,Male,31,South Christianport,MP,2025-11-21,Bronze,In-Store
CUST00053,Rachael,Freeman,ryan06@example.com,Female,42,East William,AK,2026-01-10,Bronze,Website
CUST00054,Lauren,Ramsey,ncalhoun@example.net,Other,64,Lake Nicoleview,WI,2025-08-21,Bronze,In-Store
CUST00055,Phillip,Elliott,millerroy@example.com,Male,27,New Mariotown,DE,2023-09-26,Silver,Website
CUST00056,Jorge,Murphy,wmurphy@example.com,Other,65,Port Craig,KY,2024-03-11,Platinum,Mobile App
CUST00057,Stephanie,Fisher,ruizkaitlyn@example.org,Other,48,Carlshire,FM,2024-06-24,Bronze,Mobile App
CUST00058,Michael,Santos,websterstefanie@example.org,Other,23,Meaganhaven,PA,2026-08-14,Bronze,In-Store
